"","Film","U.S._release_date","Box_office_gross_U.S._and_Canada","Box_office_gross_Other_territories","Box_office_gross_Worldwide","Alltime_Ranking_U.S._and_Canada","Alltime_Ranking_Worldwide","Budget_millions","U.S._release_year"
"1","Iron Man",2008-05-02,318604126,266762121,585366247,74,170,140,2008
"2","The Incredible Hulk",2008-06-13,134806913,129964083,264770996,454,573,150,2008
"3","Iron Man 2",2010-05-07,312433331,311500000,623933331,80,151,200,2010
"4","Thor",2011-05-06,181030624,268295994,449326618,257,256,150,2011
"5","Captain America: The First Avenger",2011-07-22,176654505,193915269,370569774,273,348,140,2011
"6","Marvel's The Avengers",2012-05-04,623357910,895455078,1518812988,8,8,220,2012
"7","Iron Man 3",2013-05-03,409013994,805797258,1214811252,32,20,178.4,2013
"8","Thor: The Dark World",2013-11-08,206362140,438421000,644783140,204,142,152.7,2013
"9","Captain America: The Winter Soldier",2014-04-04,259766572,454654931,714421503,119,117,177,2014
"10","Guardians of the Galaxy",2014-08-01,333176600,439601585,772778185,66,100,195.9,2014
"11","Avengers: Age of Ultron",2015-05-01,459005868,943800000,1402805868,20,11,365.5,2015
"12","Ant-Man",2015-07-17,180202163,339109802,519311965,255,209,109.3,2015
"13","Captain America: Civil War",2016-05-06,408084349,745211944,1153296293,33,22,230,2016
"14","Doctor Strange",2016-11-04,232641920,445076475,677718395,154,131,165,2016
"15","Guardians of the Galaxy Vol. 2",2017-05-05,389813101,473942950,863756051,41,75,200,2017
"16","Spider-Man: Homecoming",2017-07-07,334201140,545965784,880166924,64,68,175,2017
"17","Thor: Ragnarok",2017-11-03,315058289,538918837,853977126,79,78,180,2017
"18","Black Panther",2018-02-16,700426566,646853595,1347280161,4,13,200,2018
"19","Avengers: Infinity War",2018-04-27,678815482,1369544272,2048359754,5,5,316,2018
"20","Ant-Man and the Wasp",2018-07-06,216648740,406025399,622674139,181,153,162,2018
"21","Captain Marvel",2019-03-08,426829839,701445424,1128275263,25,26,150,2019
"22","Avengers: Endgame",2019-04-26,858373000,1939427564,2797800564,2,1,356,2019
"23","Spider-Man: Far From Home",2019-07-02,390532085,741395911,1131927996,40,25,160,2019
